I;time;file;args1;0.0065;./datasets/Aleatórios/a100.txt;['I']
1;0.0117;./datasets/ParcialmenteOrdenados/po75000.txt;['B', '10'];;;
1;0.0123;./datasets/ParcialmenteOrdenados/po75000.txt;['B', '100'];;;
1;0.0121;./datasets/ParcialmenteOrdenados/po75000.txt;['B', '1000'];;;
1;0.0168;./datasets/ParcialmenteOrdenados/po100000.txt;['I'];;;
1;0.0170;./datasets/ParcialmenteOrdenados/po100000.txt;['B', '10'];;;
1;0.0149;./datasets/ParcialmenteOrdenados/po100000.txt;['B', '100'];;;
1;0.0146;./datasets/ParcialmenteOrdenados/po100000.txt;['B', '1000'];;;
1;0.0279;./datasets/ParcialmenteOrdenados/po200000.txt;['I'];;;
1;0.0297;./datasets/ParcialmenteOrdenados/po200000.txt;['B', '10'];;;
1;0.0274;./datasets/ParcialmenteOrdenados/po200000.txt;['B', '100'];;;
1;0.0262;./datasets/ParcialmenteOrdenados/po200000.txt;['B', '1000'];;;
1;0.0551;./datasets/ParcialmenteOrdenados/po500000.txt;['I'];;;
1;0.0698;./datasets/ParcialmenteOrdenados/po500000.txt;['B', '10'];;;
1;0.0686;./datasets/ParcialmenteOrdenados/po500000.txt;['B', '100'];;;
1;0.0654;./datasets/ParcialmenteOrdenados/po500000.txt;['B', '1000'];;;
1;0.0870;./datasets/ParcialmenteOrdenados/po750000.txt;['I'];;;
1;0.0996;./datasets/ParcialmenteOrdenados/po750000.txt;['B', '10'];;;
1;0.0929;./datasets/ParcialmenteOrdenados/po750000.txt;['B', '100'];;;
1;0.0987;./datasets/ParcialmenteOrdenados/po750000.txt;['B', '1000'];;;
1;0.1120;./datasets/ParcialmenteOrdenados/po1000000.txt;['I'];;;
1;0.1414;./datasets/ParcialmenteOrdenados/po1000000.txt;['B', '10'];;;
1;0.1319;./datasets/ParcialmenteOrdenados/po1000000.txt;['B', '100'];;;
1;0.1356;./datasets/ParcialmenteOrdenados/po1000000.txt;['B', '1000'];;;
1;0.1270;./datasets/ParcialmenteOrdenados/po1250000.txt;['I'];;;
1;0.1848;./datasets/ParcialmenteOrdenados/po1250000.txt;['B', '10'];;;
1;0.1639;./datasets/ParcialmenteOrdenados/po1250000.txt;['B', '100'];;;
1;0.1599;./datasets/ParcialmenteOrdenados/po1250000.txt;['B', '1000'];;;
1;0.1691;./datasets/ParcialmenteOrdenados/po1500000.txt;['I'];;;
1;0.1910;./datasets/ParcialmenteOrdenados/po1500000.txt;['B', '10'];;;
1;0.1807;./datasets/ParcialmenteOrdenados/po1500000.txt;['B', '100'];;;
1;0.1933;./datasets/ParcialmenteOrdenados/po1500000.txt;['B', '1000'];;;
1;0.2110;./datasets/ParcialmenteOrdenados/po2000000.txt;['I'];;;
1;0.2519;./datasets/ParcialmenteOrdenados/po2000000.txt;['B', '10'];;;
1;0.2569;./datasets/ParcialmenteOrdenados/po2000000.txt;['B', '100'];;;
1;0.2657;./datasets/ParcialmenteOrdenados/po2000000.txt;['B', '1000'];;;
